0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
"Kild 3, one at St. Margaret Westminster, and one in a Brewers Malt-mill at St. Marâˆ£tin Vintery, and one by a fall from a Ladder at St. Giles in the Fields",,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethargy,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,
Drowned at St. Kath. Tower,,,,,,,,,1.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in the Street at Stepney,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild accidentally with a Carâˆ£bine, at St. Michael Woodâˆ£strect",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouldsallen,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oveâ€¢laid,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickâ€¢ts,,,,,,,,,9.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scalded in a Bâ€¢ewers Mash, at St. Giles Cripplegate",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt by a fall into the fire at St. Giles in the Fields,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned in a Tub of water at St. Martins in the Fields,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead (an Infant) at St. Andrew Halborn,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanged her self at St. Saviours Southwark,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild by the fall of a Scaffold at St. Bartholomew the Great,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt (accidentally) at St. Giles Cripplegate,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead (a Woman) at St. Andrew Holborn,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livergrown,,,,,,,,,,,1.0,2.0,,,1,,,,1.0,,3.0,,,,,,1.0,,1.0,1.0,3.0,1.0,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,
Râ€¢ckets,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T mpany,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild two, one by a fall from a Scaffold at St. Sepulchres, and one by a Cart at St. Martins in the Fields",,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
Scalded (a child) at St. Maudâˆ£lin Milkstreet,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGed,,,,,,,,,,,,,28.0,,,,,,,20.0,,,,19.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
Hanged her self at St. Andrew Holborn,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild at St. Margaret Westminâˆ£ster,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sore mouth,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head mould shot,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild with a fall from a Winâˆ£dow at St. Alphage,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead at St. Andrew Holborn,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild at St. Clement Danes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purples,,,,,,,,,,,,,,,1,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,3.0,2.0,2.0,,2.0,3.0,7.0,,,2.0,1.0,,1.0,,,,,,,,,
Scalded at St. Andrew Holborn,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken legge,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Found dead (an Infant) at St. Giles in the Fields,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumâ€¢tion,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drowned 3, two at St. Kaâˆ£therine Tower, and one at St. James Clarkenwel",,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in the street at St. Giles in the Fields,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild 2, one at St. Paul Covent Garden, and one by a Horse at St. Sâ€¢pulchers",,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouldfallen,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tâ€¢rush,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tâ€¢ssick,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broke his neck by a fall aboard a Ship at S. Katherines Tower,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned in a pond at Stepney,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killed 4, one at St. Andrew Holborn, one at St. Martin in the Fields, one by the kick of an Horse at St. Andrew Wardrobe, and one by a fall from a Garret Window at St. Olaves in Southwark",,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murthered at St. Paul Covent Garden,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wounded,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drownd at St Olaves in Southâˆ£wark,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed by a fall down stairs at Alhallows the Great,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murthered 2, one by the Moâˆ£ther (an Infant) at St. Giles Cripplegate, and one (an Inâˆ£fant) at St. Clement Danes",,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wounded at Sea (at Stepney),,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild 2, one by a fall from a Garret window at St. Nichoâˆ£las Coleaby, and one with a Cart at Stepney",,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blasted,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
"Drowned 3, one at St. James Clarkenwel, one at St. Cleâˆ£ment Danes, and one at St. Kaâˆ£therines Tower",,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in a Barn at Stepâˆ£ney,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found murthered (a child) in the street at St. Margaret Westminster,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanged her self at St. Maudlin Milkstreet (being distracted),,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaundias,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild 3, one at Sâ€¢. Mary Newâˆ£ington, one with a Cart at St. Giles in the Fields, and one with wrastling at St Marâˆ£garet Westminster",,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed with a fall off a Horse at St. Martin in the Fields,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned at Stepney,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Found dead in the Abby, at St. Margaret Westminster",,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt at St. Sepulchres,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drowned 2, one at St. Martins Vintrey, and one at St. Marâˆ£garets VVestminster",,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanged her self at St. Leonard Shoreditch,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVounded at Sea,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned at St. Kather. Tower,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Frighted,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,,,,,,1.0,2.0,1.0
Hanged her self at St. James Clerkenwel,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killd 2, one with a fall at S. Alâˆ£bans VVoodstreet, and one with a fall from a Scaffold at St. Giles in the fields",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drowned 3, two at St. Kathaâˆ£rines Tower, and one at St. Magdalen Bermonsey",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in the street at St. Peters in Cheapside,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kild at St. Martins in the fields,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Shot with a Pistol at Saviours Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Calenture,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"Drowned 4, one at St. Michael Crooked-lane, one at St. Mary VVhitechapel, one at Stepâˆ£ney, and one in a Tub of water at St. James Clerkenwel",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
"Kild 3, one at Lambeth, one by a Cart at St. Giles in the fields, and oâ€¢e with a bruise on his head by a VVatâ€¢rman at St. Dunstans in the west",,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
"Drowned two, one in a Fish Pond, the other in a Ditch, at Saviours Southwark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Killed by the Mother (being distracted) an Infant at St. Miâˆ£chael Crooked-lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Murthered her Infant at Stepâˆ£ney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Drowned in a Brewers VVell at Saviours Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Starved at Stepney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
"Drowned 4, one at Saviours Southwark, two at St. Kathaâˆ£rines Tower, and one at St. Margaret VVestminster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
"Found dead in the street 2, one at St. Dunstan in the East, and one at St. Olave Southwark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Hanged himself at St. Magnusâ€¢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Kild 2, one by a fall from a Tree, and one by a fall from a Ship at Stepney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Drownd in a Ditch at Saviours Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Leprosie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
"Drownd two, one at St. Kath. Tower, and one at Lambeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Found dead in the Street at St. Bartholomew the Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Killed by a fall down stairs at St. Thomas Apostle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Murthered at Stepney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Spotted Feaver and Purplâ€¢s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,
Starved at Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Broke her scull by a fall in the street at St. Mary VVoolâˆ£church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Jaundieâ€¢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Shingles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Killed by a fall from a horse at Alhallowes Lumbardstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Plannet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,,,,,,,1.0,
"Drowned 2, one at St Michael Queenhithe, and one at Stepâˆ£ney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
"Found dead in the street 3, one at St. Mary Hill, and two at St. Botolph Bishopsgate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
Small-Pox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,
"Drowned 3, one at Stepney, one at St. Katharine near the Tower, and one at St. Margaâˆ£ret VVestminster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
Found dead in the street at St. Olave Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Burnt in his Bed by a Candle at St. Giles Cripplegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Killed by a fall from the Belâˆ£frey at Alhallowes the Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Drownd at St. Martin in the Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Found dead in the Fields at St. Mary Islington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
Drowned at St. Magdalen Berâˆ£mondsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Killed by a fall at Stepney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Starved at Nurse (at St. Maudâˆ£lin in Old Fishstreet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Drowned in a Tub of VVash in a Brewhouse at St. Giles in the Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Killed by a fall from a Scaffold at St. Martin in the Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Drownd at St. Saviours Southâˆ£wark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Meâ€¢sles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Drowned at St. Olaves Southâˆ£wark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Killed by a fall at St. Margaret VVestminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Murdered by the Mother (an Infant) at St. Georges Southâˆ£wark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Burnt (by accident) at St. Leoâˆ£nard Shoreditch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Starved in the VVhite Lyon Prison at St. George in Southâˆ£wark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Swine-pox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
VVen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Sore throat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Drowned 2, one at St. Magdaâˆ£len Bermonsey, and one at St. Margaret VVestminster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Found dead in a Stable at St. Mary Islington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Hanged himself (being diâˆ£stracted) at St. Peters in Cornhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
