week_number,week_text,Abortive,Aged,Ague,Apoplexie,Bedridden,Blasted,Bleeding,Bloody flux,Broken legge,Bruised,Calenture,Cancer,Canker,Childbed,Chrisoms,Cold,Collick,Consumption,Convulsion,Cough,Distracted,Dropsie,Feaver,Fistula,Flox and Small-pox,Flux,French-pox,Frighted,Gangrene,Gowt,Grief,Griping in the Guts,Head-mould-shot,Headache,Imposthume,Infants,Jaundies,Kingsevill,Leprosie,Lethargy,Livergrown,Meagrome,Measles,Mother,Mouldfallen,Overlaid,Palsie,Plague,Plannet,Plurisie,Purples,Quinsie,Rickets,Rising of the Lights,Rupture,Sciatica,Scowring,Scurvy,Shingles,Small-Pox,Sore Brest,Sore legge,Sore mouth,Sore throat,Spleen,Spotted Feaver,Spotted Feaver and Purples,Stilborn,Stone,Stopping of the stomach,Strangury,Suddenly,Surfeit,Swine-pox,Teeth,Thrush,Timpany,Tissick,Ulcer,Vomiting,VVen,Winde,Wormes
week1,From the 20 of December to the 27. 1664,2.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,64.0,22.0,0.0,0.0,15.0,29.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,3.0,0.0,3.0,4.0,0.0,17.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
week2,From the 27 of December to the 3 of January 1664,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,57.0,26.0,0.0,0.0,24.0,33.0,0.0,38.0,1.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,3.0,5.0,0.0,3.0,5.0,0.0,23.0,1.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0
week3,From the 3 of January to the 10. 1664,1.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,82.0,24.0,4.0,0.0,31.0,46.0,0.0,28.0,4.0,2.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,4.0,1.0,1.0,6.0,0.0,27.0,0.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0
week4,From the 10 of January to the 17. 1664,6.0,39.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,80.0,31.0,1.0,1.0,27.0,33.0,0.0,17.0,2.0,2.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,14.0,0.0,4.0,3.0,0.0,27.0,3.0,0.0,15.0,2.0,0.0,0.0,5.0,2.0
week5,From the 17 of January to the 24. 1664.,5.0,44.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,2.0,1.0,96.0,36.0,4.0,0.0,39.0,35.0,2.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,10.0,1.0,4.0,13.0,0.0,19.0,0.0,1.0,21.0,0.0,0.0,0.0,4.0,2.0
week6,From the 24 of January to the 31. 1664.,2.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,19.0,0.0,0.0,77.0,44.0,2.0,0.0,29.0,33.0,0.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0,6.0,9.0,0.0,16.0,2.0,0.0,18.0,1.0,1.0,0.0,3.0,1.0
week7,From the 31 January to the 7 of February. 1664.,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,67.0,35.0,5.0,0.0,32.0,39.0,0.0,18.0,2.0,3.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,6.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,11.0,0.0,0.0,7.0,0.0,24.0,1.0,3.0,9.0,0.0,0.0,0.0,2.0,3.0
week8,From the 7 of February to the 14. 1664.,2.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,15.0,0.0,0.0,89.0,43.0,1.0,0.0,44.0,35.0,0.0,30.0,2.0,3.0,0.0,0.0,3.0,1.0,14.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,1.0,15.0,0.0,1.0,6.0,0.0,22.0,3.0,2.0,16.0,3.0,0.0,0.0,3.0,4.0
week9,From the 14 of February to the 21. 1664.,2.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,65.0,41.0,5.0,0.0,43.0,47.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,11.0,0.0,1.0,7.0,0.0,27.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0
week10,From the 21 of February to the 28. 1664.,2.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,95.0,28.0,1.0,0.0,36.0,29.0,0.0,15.0,2.0,2.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,8.0,0.0,0.0,9.0,0.0,20.0,4.0,0.0,15.0,0.0,0.0,0.0,3.0,2.0
week11,From the 28 of February to the 7 of March. 1664.,2.0,28.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,1.0,0.0,87.0,38.0,6.0,0.0,44.0,35.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0,12.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,2.0,9.0,0.0,3.0,10.0,0.0,18.0,1.0,2.0,18.0,1.0,1.0,0.0,2.0,5.0
week12,From the 7 of March to the 14. 1664.,6.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,0.0,1.0,85.0,34.0,4.0,1.0,40.0,29.0,0.0,16.0,2.0,4.0,0.0,1.0,2.0,1.0,12.0,0.0,0.0,1.0,13.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,4.0,1.0,4.0,11.0,0.0,27.0,4.0,1.0,15.0,2.0,1.0,0.0,1.0,1.0
week13,From the 14 of March to the 21. 1664.,0.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,2.0,1.0,77.0,24.0,2.0,0.0,34.0,27.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,7.0,0.0,4.0,0.0,2.0,7.0,0.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0
week14,From the 21 of March to the 28. 1665.,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0,0.0,66.0,37.0,1.0,0.0,23.0,30.0,0.0,9.0,3.0,4.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,6.0,0.0,2.0,3.0,0.0,19.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0
week15,From the 28 of March to the 4 of April. 1665.,2.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,77.0,30.0,2.0,0.0,19.0,25.0,0.0,12.0,2.0,4.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,4.0,9.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0,0.0,1.0,4.0,0.0,14.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
week16,From the 4 of April to the 11. 1665.,2.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,0.0,87.0,25.0,1.0,0.0,31.0,34.0,0.0,19.0,0.0,4.0,0.0,2.0,0.0,0.0,22.0,1.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,1.0,4.0,0.0,5.0,8.0,0.0,25.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0
week17,From the 11 of April to the 18. 1665.,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,18.0,0.0,0.0,56.0,25.0,0.0,0.0,21.0,34.0,1.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,8.0,1.0,3.0,9.0,0.0,17.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
week18,From the 18 of April to the 25. 1665.,4.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,0.0,0.0,79.0,33.0,3.0,0.0,33.0,36.0,1.0,17.0,5.0,5.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,6.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,10.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,6.0,0.0,1.0,8.0,0.0,22.0,4.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
week19,From the 25 of April to the 2 of May. 1665.,5.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,89.0,27.0,1.0,0.0,38.0,35.0,0.0,9.0,1.0,2.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,1.0,17.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,6.0,1.0,0.0,9.0,0.0,16.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,2.0
week20,From the 2 of May to the 9. 1665.,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.0,80.0,22.0,0.0,0.0,15.0,37.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,3.0,3.0,0.0,4.0,15.0,0.0,19.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
week21,From the 9 of May to the 16. 1665.,2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,75.0,34.0,2.0,0.0,22.0,32.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,3.0,1.0,2.0,13.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0
week22,From the 16 of May to the 23. 1665.,4.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,73.0,35.0,0.0,0.0,26.0,34.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,4.0,2.0,8.0,0.0,2.0,11.0,0.0,23.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0
week23,From the 23 of May to the 30. 1665.,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,80.0,29.0,2.0,0.0,27.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,2.0,0.0,1.0,14.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,1.0,5.0,0.0,2.0,13.0,0.0,19.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0
week24,From the 30 of May to the 6 of June. 1665.,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,63.0,31.0,1.0,0.0,27.0,43.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.0,1.0,2.0,1.0,3.0,9.0,0.0,25.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
week25,From the 6 of June to the 13. 1665,0.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,98.0,38.0,0.0,0.0,28.0,54.0,0.0,12.0,1.0,3.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,1.0,2.0,13.0,12.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,6.0,8.0,0.0,3.0,24.0,0.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
